Departamento,Provincia,Distrito,Sexo,Edad,Donacion,Cantidad
Cajamarca,Celendín,Oxamarca,Mujer,25,NO,35
Cajamarca,Celendín,Oxamarca,Mujer,25,NE,39
Cajamarca,Celendín,Sorochuco,Hombre,18,SI,3
Cajamarca,Celendín,Sorochuco,Hombre,18,NO,22
Cajamarca,Celendín,Sorochuco,Hombre,18,NE,81
Cajamarca,Celendín,Sorochuco,Hombre,19,SI,3
Cajamarca,Celendín,Sorochuco,Hombre,19,NO,31
Cajamarca,Celendín,Sorochuco,Hombre,19,NE,45
Cajamarca,Celendín,Sorochuco,Hombre,20,SI,1
Cajamarca,Celendín,Sorochuco,Hombre,20,NO,21
Cajamarca,Celendín,Sorochuco,Hombre,20,NE,53
Cajamarca,Celendín,Sorochuco,Hombre,21,SI,4
Cajamarca,Celendín,Sorochuco,Hombre,21,NO,24
Cajamarca,Celendín,Sorochuco,Hombre,21,NE,46
Cajamarca,Celendín,Sorochuco,Hombre,22,SI,3
Cajamarca,Celendín,Sorochuco,Hombre,22,NO,30
Cajamarca,Celendín,Sorochuco,Hombre,22,NE,66
Cajamarca,Celendín,Sorochuco,Hombre,23,SI,3
Cajamarca,Celendín,Sorochuco,Hombre,23,NO,34
Cajamarca,Celendín,Sorochuco,Hombre,23,NE,55
Cajamarca,Celendín,Sorochuco,Hombre,24,SI,3
Cajamarca,Celendín,Sorochuco,Hombre,24,NO,32
Cajamarca,Celendín,Sorochuco,Hombre,24,NE,42
Cajamarca,Celendín,Sorochuco,Hombre,25,SI,15
Cajamarca,Celendín,Sorochuco,Hombre,25,NO,71
Cajamarca,Celendín,Sorochuco,Hombre,25,NE,35
Cajamarca,Celendín,Sorochuco,Mujer,18,SI,1
Cajamarca,Celendín,Sorochuco,Mujer,18,NO,16
Cajamarca,Celendín,Sorochuco,Mujer,18,NE,78
Cajamarca,Celendín,Sorochuco,Mujer,19,SI,1
Cajamarca,Celendín,Sorochuco,Mujer,19,NO,24
Cajamarca,Celendín,Sorochuco,Mujer,19,NE,67
Cajamarca,Celendín,Sorochuco,Mujer,20,NO,10
Cajamarca,Celendín,Sorochuco,Mujer,20,NE,59
Cajamarca,Celendín,Sorochuco,Mujer,21,SI,3
Cajamarca,Celendín,Sorochuco,Mujer,21,NO,20
Cajamarca,Celendín,Sorochuco,Mujer,21,NE,60
Cajamarca,Celendín,Sorochuco,Mujer,22,SI,2
Cajamarca,Celendín,Sorochuco,Mujer,22,NO,25
Cajamarca,Celendín,Sorochuco,Mujer,22,NE,65
Cajamarca,Celendín,Sorochuco,Mujer,23,SI,3
Cajamarca,Celendín,Sorochuco,Mujer,23,NO,24
Cajamarca,Celendín,Sorochuco,Mujer,23,NE,55
Cajamarca,Celendín,Sorochuco,Mujer,24,SI,2
Cajamarca,Celendín,Sorochuco,Mujer,24,NO,30
Cajamarca,Celendín,Sorochuco,Mujer,24,NE,57
Cajamarca,Celendín,Sorochuco,Mujer,25,SI,3
Cajamarca,Celendín,Sorochuco,Mujer,25,NO,63
Cajamarca,Celendín,Sorochuco,Mujer,25,NE,31
Cajamarca,Cutervo,Cutervo,Hombre,18,SI,6
Cajamarca,Cutervo,Cutervo,Hombre,18,NO,76
